"id","created_at","updated_at","deleted_at","name","province_id"
"1271","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA SIBOLGA","12"
"1272","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA TANJUNG BALAI","12"
"1273","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA PEMATANG SIANTAR","12"
"1274","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA TEBING TINGGI","12"
"1275","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA MEDAN","12"
"1276","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA BINJAI","12"
"1277","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA PADANGSIDIMPUAN","12"
"1278","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA GUNUNGSITOLI","12"
"1301","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN KEPULAUAN MENTAWAI","13"
"1302","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN PESISIR SELATAN","13"
"1303","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN SOLOK","13"
"1304","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN SIJUNJUNG","13"
"1305","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN TANAH DATAR","13"
"1306","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN PADANG PARIAMAN","13"
"1307","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN AGAM","13"
"1308","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN LIMA PULUH KOTA","13"
"1309","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN PASAMAN","13"
"1310","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN SOLOK SELATAN","13"
"1311","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN DHARMASRAYA","13"
"1312","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN PASAMAN BARAT","13"
"1371","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA PADANG","13"
"1372","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA SOLOK","13"
"1373","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA SAWAH LUNTO","13"
"1374","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA PADANG PANJANG","13"
"1375","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA BUKITTINGGI","13"
"1376","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA PAYAKUMBUH","13"
"1377","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA PARIAMAN","13"
"1401","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN KUANTAN SINGINGI","14"
"1402","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN INDRAGIRI HULU","14"
"1403","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN INDRAGIRI HILIR","14"
"1404","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN PELALAWAN","14"
"1405","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN S I A K","14"
"1406","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN KAMPAR","14"
"1407","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN ROKAN HULU","14"
"1408","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN BENGKALIS","14"
"1409","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN ROKAN HILIR","14"
"1410","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN KEPULAUAN MERANTI","14"
"1471","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA PEKANBARU","14"
"1473","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KOTA D U M A I","14"
"1501","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN KERINCI","15"
"1502","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN MERANGIN","15"
"1503","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN SAROLANGUN","15"
"1504","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN BATANG HARI","15"
"1505","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN MUARO JAMBI","15"
"1506","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN TANJUNG JABUNG TIMUR","15"
"1507","2020-10-26 13:10:07.370589+07:07","2020-10-26 13:10:07.370589+07:07",,"KABUPATEN TANJUNG JABUNG BARAT","15"
